keyword,id,title,company,location,post_date,work_type,applicant_count,description,data_analyst,bi_analyst,data_engineer,data_scientist,etl_developer,business_information,analyst
"""Data Analyst""",3173949569,Data Analyst,Paper.id,"Duri Utara, Jakarta, Indonesia",1 week ago,On-site,Over 200 applicants,"Company Description: Kami menghadirkan sebuah platform pembayaran antar bisnis dan terintegrasi bagi para pebisnis mulai kecil hingga besar, agar operasional bisnis tetap berjalan lancar serta arus kas anti macet. Job Description:

Data Analyst",1,0,0,0,0,0,1
"""Data Analyst""",3182100767,Data Analyst,OY! Indonesia,"Jakarta, Indonesia",1 week ago,,188 applicants,"Act as the in-house statistical expert for the team and provide customer / product insight based on data-driven analytics to increase performance of business users
Liaise and work with senior stakeholders across different business functions to ensure the business growth is on-track.
Build a strong and detail experiment framework to determine proper metrics for performance tracking.
Create performance report, prepare report and presentations, and develop dashboards that provide insights and visualization on OKR's, projection and historical performance
Analyze large amounts of information to discover trends and patterns
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Build predictive models and machine-learning algorithms
Minimum Qualifications
Bachelor degree in Computer Science, Mathematics, Statistics or related fields
At least 1 Year(s) of working experience in the related field is required for this position
Collecting data, Researching ,developing and implementing data- gathering methods
Collaboration Mindset
Data driven mindset with the ability to develop insightful reports, dashboards and presentations.
Analytical mind with problem-solving attitude
Firm understanding of statistics and database
Proven experience with programming for data analysis
Ability to work in a fast-paced environment
Proven Experience to build Predictive and prescriptive analytics model
Strong communication skills
Strong SQL, Python/R
Strong logic at business and data.",1,0,0,0,0,0,1
"""Data Analyst""",3184486252,Data Analyst,PT. Equityworld Futures,"Surabaya, East Java, Indonesia",2 days ago,On-site,30 applicants,"The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business users.
Responsibilities
Understand the day-to-day issues that our business faces, which can be better understood with data
Compile and analyze data related to business' issues
Develop clear visualizations to convey complicated data in a straightforward
Interpret data to recognize changing trends, patterns, and their meaning related to key performance indicators

Qualifications
Bachelor's or Master's degree in Accounting, Economics, Finance, Statistics or Applied Mathematics or equivalent experience
1 - 2 years' Data Analysis experience
Fresh graduated are welcome
Placement : Surabaya",1,0,0,0,0,0,0
"""Data Analyst""",3178151557,Data Analyst,SIRCLO,"Tangerang, Banten, Indonesia",1 week ago,,174 applicants,"Responsibilities
Collect, manipulate, analyze, and interpret data into actionable insights.
Collaborate with Data Engineers, Data Science, and other stakeholders to support impactful business decisions.
Provide stakeholders with data to support data-driven decision-making processes.
Regularly re-map as well as review query & insight dashboard, take initiative to address issues & challenges, and follow up to ensure resolution.
Ensure the availability of high quality data and insights across the company.
Requirements
Have working experience as Data Analyst, Business Intelligence, or other related fields in analytical roles will be an advantage.
Enjoy working with data and numbers.
Strong structured problem-solving skills and business acumen.
Highly proficient in data manipulation tools (Microsoft Excel, Google Spreadsheet, Pandas Python).
Proficient with SQL (especially Bigquery and PostgreSQL dialect).
Passionate about the e-commerce and startup industry.
Comfortable in translating business problems into actionable steps.",1,0,0,0,0,0,1
"""Data Analyst""",3157091177,Data Analyst,GrosirOne,"Tangerang Selatan, Banten, Indonesia",1 month ago,On-site,164 applicants,"Company Description: GrosirOne Job Description:
Menghandle keseluruhan data yang dibutuhkan oleh team berbagai divisi
Melakukan analisa data, membuat kesimpulan dan laporan yang ditujukan kepada klien berdasarkan hasil analisis yang dibuat
Bekerja sama dengan tim untuk memprovide data yang dibutuhkan berbagai divisi untuk pengembangan perusahaan
Mengembangkan statistical method dan machine learning yang dibutuhkan perusahaan
Melakukan ekstraksi data dari berbagai sumber",1,0,0,0,0,0,1
"""Data Analyst""",3195609140,Data Analyst,KOMPAS GRAMEDIA,"Purwakarta, West Java, Indonesia",2 days ago,On-site,105 applicants,"Job Description

Melakukan analisa kinerja produksi sehingga dapat memberikan umpan balik untuk perbaikan proses produksi.

Minimum Qualifications
Pendidikan S1 Statistika
Memiliki kemampuan analisa, pengolahan dan perencanaan data yang baik
Memiliki kemampuan komunikasi & kemampuan presentasi yang baik
About Kompas Gramedia

Kompas Gramedia, through its more than 50 years of history, is striving for one goal: enlightening and empowering Indonesia. To ensure that we are able to serve the nation for another 50 years, we are undergoing a digital transformation; strengthening and expanding our solid business pillars by developing new digital business initiatives. Our vision is to enlight all the people in Indonesia with all the knowledge we have.",1,0,0,0,0,0,1
"""Data Analyst""",3183762161,Data Analyst,Summit Institute of Development,"Mataram, West Nusa Tenggara, Indonesia",4 weeks ago,On-site,12 applicants,"Company Description: Yayasan Institut Pengembangan Suara Mitra atau dikenal juga sebagai SUMMIT Institute of Development (SID) secara resmi berdiri pada tahun 2007. Ide untuk membentuk yayasan tersebut berasal dari beberapa mantan anggota Senior Tim Manajemen Program SUMMIT. Program SUMMIT merupakan sebuah penelitian dengan desain randomized controlled trial dalam skala besar yang dilakukan di Pulau Lombok, Provinsi Nusa Tenggara Barat, Indonesia dengan tujuan untuk mengurangi Angka Kematian Ibu dan Angka Kematian Bayi dalam konteks perawatan rutin kehamilan. Penelitian ini mengikutsertakan hampir 42,000 ibu hamil dan mempekerjakan sekitar 500 staf lapangan dari tahun 2001-2004. Hasil penelitian menunjukkan bahwa kondisi kesehatan dapat ditingkatkan dengan meningkatkan pemeriksaan kehamilan secara rutin melalui pendekatan partisipatif dan peengambilan keputusan berdasarkan pada bukti-bukti. Hal tersebut dapat dicapai melalui peningkatan kualitas Sumber Daya Manusia. Oleh karena itu, SID berupaya untuk meningkatkan kesehatan dan membangun manusia di tingkat masyarakat melalui pengambilan keputusan partisipatif berbasis bukti dan aksi yang berkelanjutan. Job Description:

Data Analyst",1,0,0,0,0,0,1
"""Data Analyst""",3176107130,Data Analyst,GTech Digital Asia,"Jakarta, Jakarta, Indonesia",1 week ago,,42 applicants,"Data Analyst in the Big Data Team is responsible for the overall Business Analytics, Actionable Analytics, Data Modelling and Pipeline, Data Visualization, Reporting and supporting the business teams with Adhoc requests.

Job Description
responsible for the delivery of business analytics and insights that drive the overall business across various verticals of GTech including retail, banking, pharma, public sector, manufacturing etc.
responsible for analyzing the data with application of advanced analytics and visualizations
Requirements
3-8 years of work experience in end to end Data Visualization and Analytics
Bachelors/Master’s Degree in Computer Science/Statistics/Management
Ability to structure problems through a data driven decision-making process, Ability to identify and draw on leading-edge analytical tools and techniques to develop creative approaches and new insights to business issues through data analysis
Highly Proficient in Visualization tools like Tableau( hands-on) is a strong pre-requisite
Excellent Knowledge of SQL/PLSQL is Mandatory
Highly proficient with Excel (preferably macros/VBA), PowerPoint, Visio, Outlook, and Word applications
Intermediate knowledge of ETL tools like Talend Open Source, good to have
Excellent analytical thinking, analysis, and problem-solving skills
Familiar with Cloud Tech stack",1,0,0,0,0,0,1
"""Data Analyst""",3167587336,Junior Data Analyst,Pt The Lorry Online Indonesia,"Jakarta, Jakarta, Indonesia",2 weeks ago,On-site,102 applicants,"Hi Everyone!

The Lorry Online Indonesia is hiring a Junior Data Analyst - Full Time to help continue our rapid growth and solve our toughest logistic problems, we need a skilled Data Analyst with experience in building production ready API’s and scalable backend/server side applications.

Key Highlights Flexible work environment, AWS + Google Cloud Stack, CI/CD practices, ML and Optimization Projects, Experienced Seniors, Knowledge Sharing Culture. Key Responsibilities If you love to solve problems and add value, please consider what your typical days might look like: Drive and uphold high engineering standards, bringing consistency to the Analysis you encounter and ensuring your analysis is adequately reviewed, tested, and perceived. Ability to work with stakeholders to assess potential risks. Ability to analyze existing tools and databases and provide software solution recommendations. Ability to translate business requirements into non-technical, lay terms. High-level experience in methodologies and processes for managing large-scale databases. Demonstrated experience in handling large data sets and relational databases. Understanding of addressing and metadata standards. Key Requirements At least one year of experience using languages such as Python, SQL and Frameworks such as Fast API & Flask. Provide quality assurance of imported data, working with quality assurance analysts if necessary. Commissioning and decommissioning of data sets. Processing confidential data and information according to guidelines. Helping develop reports and analysis. Generating reports from single or multiple systems. Troubleshooting the reporting database environment and reports. Evaluating changes and updates to source production systems. Training end-users on new reports and dashboards. Providing technical expertise in data storage structures, data mining, and data cleansing. Bonus Points Knowledge of optimization techniques, multiprocessing design principles and TDD using Python is a plus. Experience with NoSQL and streaming platforms, e.g. Kafka, MongoDB, Neo4j is a plus Experience with advanced analytics and modern machine learning techniques is a plus Experience with cloud native services such as Dataflow & BigQuery is a plus",1,0,0,0,0,0,1
"""Data Analyst""",3129444892,Data Analyst,detikcom,"Jakarta, Jakarta, Indonesia",1 month ago,,Over 200 applicants,"Job Responsibilities
Importing, cleaning, transforming, validating, or modeling data with the purpose of understanding or making conclusions from the data for decision-making purposes.
Presenting data in charts, graphs, tables.
Designing and developing data collection and interaction models.
Requirements
Educational background is flexible but we do encourage those from Sociology, Informatics System, Statistics, Anthropology, Psychology, Economic Science, or Computer science/engineering majors.
Having 2-3 years of experience as a Data Analyst.
Experience managing and analyzing data.
Data visualization experience.
Familiar with digital products and systems.
Familiarity with R, Python data packages, Google Analytics and ComScore is a big plus
Can use spreadsheet software with a good understanding of using formulas.
Willing to learn.",1,0,0,0,0,0,1
